Result for strategy BigZ07
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    BCH/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    BTC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    BTT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   CELR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   DASH/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    FIL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    GXS/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    HNT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    HOT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   IOTA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   LINK/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   MASK/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    NKN/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     OM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   REEF/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    RLC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     SC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    SKL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|  SUSHI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    TRX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    UNI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    VET/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    WIN/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    XLM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    XMR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    XRP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    XTZ/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    YFI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    ZEC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    XEM/USDT |      2 |          -0.62 |          -1.25 |            -0.472 |          -0.59 |         5:15:00 |     1     0     1  50.0 |
|    LPT/USDT |      7 |          -0.70 |          -4.87 |            -1.120 |          -1.40 |  1 day, 9:47:00 |     6     0     1  85.7 |
|     AR/USDT |      6 |          -0.79 |          -4.75 |            -1.217 |          -1.52 |         0:56:00 |     5     0     1  83.3 |
|   IOTX/USDT |      7 |          -0.80 |          -5.62 |            -1.691 |          -2.11 |        12:35:00 |     5     0     2  71.4 |
|   PERL/USDT |      1 |         -10.85 |         -10.85 |            -2.229 |          -2.79 |        12:45:00 |     0     0     1     0 |
|    TWT/USDT |      3 |          -2.79 |          -8.38 |            -2.435 |          -3.04 |        11:18:00 |     2     0     1  66.7 |
|    MTL/USDT |      4 |          -2.21 |          -8.84 |            -2.648 |          -3.31 |        10:10:00 |     3     0     1  75.0 |
|    EOS/USDT |      2 |          -4.72 |          -9.45 |            -2.867 |          -3.58 | 3 days, 2:38:00 |     1     0     1  50.0 |
|  SUPER/USDT |      6 |          -1.37 |          -8.25 |            -2.952 |          -3.69 |         1:36:00 |     5     0     1  83.3 |
|   DEGO/USDT |      3 |          -3.17 |          -9.51 |            -3.099 |          -3.87 |         5:08:00 |     2     0     1  66.7 |
|   PERP/USDT |     13 |          -3.88 |         -50.46 |           -10.511 |         -13.14 |        22:20:00 |    10     0     3  76.9 |
|       TOTAL |    295 |           0.45 |         131.86 |            30.289 |          37.86 |         5:07:00 |   279     0    16  94.6 |
======================================================= SELL REASON STATS ========================================================
